id;author;content;people;hashtags
1185089867845394433;Jimmy_2_Times_0;"Z uwagi na to że dziś piątek wraz z  @Greenpeace_PL  gorąco zachęcam dziś do wstrzemięźliwości od potraw mięsnych.;Jimmy_2_Times_0,Greenpeace_PL;
1184799101940051969;agnieszkakot44;"Wiecie idioci, ze katolicy w kazdy piątek nie jedzą mięsa?;agnieszkakot44,Greenpeace_PL;
1184729454930780161;SzmerLasu;"Gdyby wszyscy członkowie ''grinpice'' zrezygnowali z oddychania przez jeden dzień pozwoliło by to na zredukowanie CO2 o 90 tyś ton. Ratujcie planetę ... wstrzymajcie oddech!!;SzmerLasu,Greenpeace_PL;
1184729261946658816;matsobon;"Gdyby członkowie  @Greenpeace_PL  całkowicie zrezygnowali z żywności na dwa miesiące to emisja CO2 też by spadła, a efekt byłby długotrwały.;matsobon,Greenpeace_PL;
1185096618544173056;JdMd_XXVILO;"Ja myślę, że duża też tu wina biegaczy. Wysiłek, wydatek energii zwiększa także emisję CO2. Dodatkowo powoduje także, że jedzą więcej, a to już bezpośrednio przekłada się na konsumpcję także mięsa. Lać biegaczy!;JdMd_XXVILO,GorwaMarcin,Greenpeace_PL;
1185062831462506496;anna1055555;"No Prawacy    PIĄTECZEK pokażmy  zielonym i kolorowym ;anna1055555,Greenpeace_PL;
1184757275321348096;WalskiJ;"GrinPic, jak tam z warszawskim gównem, idzie do przodu, czy na zimę trzeba będzie zwinąć pomost i ponownie wpuszczać. Martwi to kogoś z was?  A co do ocieplenia, to jest lepsze rozwiązanie - ostateczne: bierzemy noże i obcinamy sobie głowy - GrinPic daje przykład.;WalskiJ,Greenpeace_PL;
1184702128088109057;PiotrNo02045211;"Skoczcie do Puszczy Bialoweskiej  Kornik ja wpie......la w coraz szybszym tempie. Gdyby Greenpeace przestał pieprzyć bzdury byłoby trochę spokoju.;PiotrNo02045211,Greenpeace_PL;
1185071103569518592;IstotaNajwyzsza;"Dziś tą równowagę zakłócamy – naszych przemysłowych emisji nie równoważy żadne naturalne ani przemysłowe pochłanianie. https://naukaoklimacie.pl/fakty-i-mity/mit-dwutlenek-wegla-emitowany-przez-czlowieka-nie-ma-znaczenia-31…;IstotaNajwyzsza,TomaszKrucz;
1184807870937948160;KublerKuba;"Wypierdalac !;KublerKuba,Greenpeace_PL;
1184907579329318912;ppietryga;"Już tak mieliśmy. Pamiętam jakie mieliśmy powietrze 30 lat temu.;ppietryga,Greenpeace_PL;
1184827230708469761;KR_1970;"No i w Wielki Piątek ;KR_1970,JackuPlacku5,Greenpeace_PL;
1184804809909657600;RoninPoland;"Ciekawe co zrobiono z mięsem cielaczka z którego zrobiono ten pasek #LV??? ;RoninPoland,Greenpeace_PL,hashtag;LV
1184803492478754816;Marysia__P;"  Żrem mięcho w każdy dzień tygodnia oprócz piątku! Jem, jadłam i jeść będę!  Was też mogę pożreć!  < pierdoły piszą> ....;Marysia__P,Greenpeace_PL;
1184801292981624833;rapgracom;"Piątki. Od ponad tysiąca lat. Tego w IV Rzeszy nie macie, co?;rapgracom,Greenpeace_PL;
1184800981365743616;RemekRemkowski;"Namaiwacie lewaków do praktyk katolickich?;RemekRemkowski,Greenpeace_PL;
1184786481820426241;ArturZielak;"I wjechał on,Król Dwujajeczny! P.S.Sami żryjcie korzonki.;ArturZielak,Greenpeace_PL;
1184768994445795328;zby_ka;"Religia katolicka, która jest zwalczana przez lewactwo mieniące się ochroną przyrody, okazuje się bardzo proekologiczną. Wystarczy pościć  w piątek;zby_ka,Greenpeace_PL;
1184766292617768960;kmdk70;"Jedz kamienie;kmdk70,Greenpeace_PL;
1184762898582818817;ciynka;"Kabaret, nie organizacja broniąca natury...;ciynka,Greenpeace_PL;
1184755778407849985;George59731934;"Ale to zróbmy Dzień bez pierdzenia, i to będzie z miliard ton CO2 mniej.;George59731934,Greenpeace_PL;
1184754945255526401;RyszardWasilew1;"Spierdalać;RyszardWasilew1,Greenpeace_PL;
1184753543401689089;KrzysioJezyna;"Jesteście żałośni. Oddalcie się w pośpiechu.;KrzysioJezyna,Greenpeace_PL;
1184745466363293699;i_mikusek;"W religii katolickiej jest coś takiego jak post w piątek;i_mikusek,Greenpeace_PL;
1184737608066310144;Gembanaftalina;"zlikwidujcie Niemcy. 40% co2 mniej.;Gembanaftalina,Greenpeace_PL;
1184730653281132544;Krzyszt64455392;"Spierdalać bo psami poszczuję!;Krzyszt64455392,Greenpeace_PL;
1184730318231756800;grzegurz;"Hindusi w 95% to wegetarianie, A Indie należą do czołówki trucicieli CO2.....;grzegurz,Greenpeace_PL;
1184696256066736128;MOs810WS;"Przecież my w piątki nie jemy mięsa. O co wam chodzi?;MOs810WS,Greenpeace_PL;
1184681371450728448;m_si85;"Gdybyście zauważyli gówno które pływa w Wiśle ...;m_si85,Greenpeace_PL;
1184626189035552773;pieknapgogda;"Gońcie żółwia. Jesteście... Sami wiecie jacy.;pieknapgogda,Greenpeace_PL;
1184565739686113280;PCapriano;"W Y P I E R D A L A Ć!;PCapriano,Greenpeace_PL;
1184554106704355330;BogeyPol;"Znowu zaczynacie urządzać jadłospisy Polakom, jak w latach 1939-45?  Wtedy też Niemcy troszczyli się, żeby Polacy za dużo mięsa nie jedli.;BogeyPol,Greenpeace_PL;
